code,lambda,alpha,topm,conf_topk,warmup_epochs,seed,accuracy
C000,0.02,10,20,20,10,42,0.3500
C001,0.05,10,20,20,10,42,0.1750
C002,0.1,10,20,20,10,42,0.1750
C003,0.2,10,20,20,10,42,0.5042
C004,0.4,10,20,20,10,42,0.4667
