code,lambda,alpha,topm,conf_topk,warmup_epochs,seed,accuracy
A000,0.02,10,20,20,10,42,?
A001,0.05,10,20,20,10,42,?
A002,0.1,10,20,20,10,42,?
A003,0.2,10,20,20,10,42,?
A004,0.4,10,20,20,10,42,?
